"Form type","Form description","Filing date","Reporting date","Act","Film number(s)","File number(s)","Accession number","Size"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-08-12","2022-06-30","34","221161353","","0001062993-22-017877","19776"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-05-13","2022-03-31","34","22922770","","0001062993-22-012364","20603"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-02-14","2021-12-31","34","22623502","","0001062993-22-003834","21433"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-11-12","2021-09-30","34","211400497","","0001062993-21-010654","21372"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-08-16","2021-06-30","34","211173739","","0001062993-21-007503","18906"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-05-14","2021-03-31","34","21923920","","0001062993-21-004579","15497"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-02-10","2020-12-31","34","21612825","","0001062993-21-001174","12956"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-11-13","2020-09-30","34","201310464","","0001062993-20-005615","12931"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-08-12","2020-06-30","34","201095268","","0001062993-20-003858","12504"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-05-13","2020-03-31","34","20874027","","0001062993-20-002335","13810"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-02-12","2019-12-31","34","20600088","","0001062993-20-000642","15075"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-11-12","2019-09-30","34","191207799","","0001062993-19-004300","15356"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-08-12","2019-06-30","34","191016948","","0001062993-19-003304","14192"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-05-10","2019-03-31","34","19814278","","0001062993-19-002107","13254"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-02-12","2018-12-31","34","19589564","","0001062993-19-000689","14179"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-11-09","2018-09-30","34","181173387","","0001062993-18-004490","12115"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-08-09","2018-06-30","34","181004758","","0001062993-18-003225","12010"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-05-11","2018-03-31","34","18826653","","0001062993-18-002119","11558"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-02-14","2017-12-31","34","18610540","","0001062993-18-000807","11147"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2017-11-13","2017-09-30","34","171195312","","0001062993-17-004845","12485"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2017-08-14","2017-06-30","34","171028305","","0001062993-17-003753","11977"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2017-05-12","2017-03-31","34","17838816","","0001062993-17-002429","11640"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2017-03-29","2016-12-31","34","17721592","","0001062993-17-001542","12664"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2017-02-10","2016-12-31","34","17592549","","0001062993-17-000715","12392"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2016-11-10","2016-09-30","34","161986721","","0001062993-16-012137","11987"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2016-08-10","2016-06-30","34","161821114","","0001062993-16-010933","10736"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2016-05-12","2016-03-31","34","161641055","","0001062993-16-009604","10803"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2016-02-10","2015-12-31","34","161405396","","0001062993-16-007626","9497"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-11-04","2015-09-30","34","151195701","","0001062993-15-005764","9131"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-08-04","2015-06-30","34","151024860","","0001062993-15-004122","14722"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-05-12","2015-03-31","34","15853678","","0001062993-15-002584","15848"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-02-12","2014-12-31","34","15604439","","0001062993-15-000687","17710"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-11-12","2014-09-30","34","141211871","","0001062993-14-006467","17694"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-08-12","2014-06-30","34","141034250","","0001062993-14-004752","9904"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-05-13","2014-03-31","34","14836588","","0001062993-14-002805","23888"
