"Form type","Form description","Filing date","Reporting date","Act","Film number(s)","File number(s)","Accession number","Size"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-08-12","2022-06-30","34","221159819","","0000950123-22-008784","24042"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-05-13","2022-03-31","34","22922506","","0000950123-22-005751","23570"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-02-11","2021-12-31","34","22620492","","0000950123-22-002102","24481"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-11-12","2021-09-30","34","211403165","","0000950123-21-014966","21801"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-08-13","2021-06-30","34","211172657","","0000950123-21-010912","20841"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-05-07","2021-03-31","34","21902470","","0000950123-21-005567","20844"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2021-02-12","","","","","0001193125-21-041401","43095"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-02-12","2020-12-31","34","21626955","","0000950123-21-001978","17108"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-11-13","2020-09-30","34","201311338","","0000950123-20-011770","14385"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2020-09-18","2020-06-30","34","201184010","","0000950123-20-009824","3926"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-08-14","2020-06-30","34","201104861","","0000950123-20-009057","11599"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-05-08","2020-03-31","34","20860422","","0000950123-20-004195","11623"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-02-14","2019-12-31","34","20620024","","0000950123-20-002489","12723"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2020-02-14","","","","","0001193125-20-038132","44907"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-11-08","2019-09-30","34","191203982","","0000950123-19-010406","12707"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-08-09","2019-06-30","34","191012913","","0000950123-19-007448","12183"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-05-10","2019-03-31","34","19814756","","0000950123-19-004372","11157"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2019-02-08","","","","","0001193125-19-032219","43022"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-02-08","2018-12-31","34","19579790","","0000950123-19-001021","12183"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-11-09","2018-09-30","34","181173017","","0000950123-18-010952","13209"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2018-10-12","2018-06-30","34","181120239","","0000950123-18-009877","12567"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-08-10","2018-06-30","34","181008822","","0000950123-18-008026","12109"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-05-11","2018-03-31","34","18826781","","0000950123-18-004937","10589"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-02-09","2017-12-31","34","18591617","","0000950123-18-001271","8581"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2018-01-26","","","","","0001193125-18-021570","35652"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2017-11-09","2017-09-30","34","171190645","","0000950123-17-009994","9612"
