"Form type","Form description","Filing date","Reporting date","Act","Film number(s)","File number(s)","Accession number","Size"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-01-31","2018-12-31","34","19554053","","0001599404-19-000001","20102"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-11-13","2018-09-30","34","181176654","","0001599404-18-000006","14769"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-08-14","2018-06-30","34","181016706","","0001599404-18-000005","15297"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-05-15","2018-03-31","34","18835191","","0001599404-18-000004","15783"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-02-08","2017-12-31","34","18585319","","0001599404-18-000002","16812"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-01-20","2014-12-31","34","15535775","","0001599404-15-000001","4947"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-10-20","2014-09-30","34","141163826","","0001599404-14-000006","4947"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-09-09","2014-06-30","34","141092793","","0001599404-14-000005","5502"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-05-15","2014-03-31","34","14844998","","0001599404-14-000004","5505"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-02-14","2013-12-31","34","14614207","","0001599404-14-000002","5484"
