"Form type","Form description","Filing date","Reporting date","Act","Film number(s)","File number(s)","Accession number","Size"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-10-20","2022-09-30","34","221320327","","0001728827-22-000003","4512"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-08-10","2022-06-30","34","221151476","","0001909343-22-000004","5048"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-05-09","2022-03-31","34","22904235","","0001728827-22-000002","5046"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-02-10","2021-12-31","34","22613232","","0001728827-22-000001","7652"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-02-09","2020-12-31","34","21604780","","0001728827-21-000001","6074"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-11-12","2020-09-30","34","201304893","","0001728827-20-000004","6606"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-08-07","2020-06-30","34","201084112","","0001728827-20-000003","5563"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-05-08","2020-03-31","34","20860956","","0001728827-20-000002","6084"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-02-11","2019-12-31","34","20595896","","0001728827-20-000001","7137"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-11-13","2019-09-30","34","191212885","","0001728827-19-000005","3982"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-08-08","2019-06-30","34","191008220","","0001728827-19-000004","3984"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-05-14","2019-03-31","34","19822051","","0001728827-19-000003","5561"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-02-14","2018-12-31","34","19602992","","0001728827-19-000002","6052"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-11-14","2018-09-30","34","181182703","","0001728827-18-000006","5574"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-08-14","2018-06-30","34","181017982","","0001728827-18-000005","8707"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-05-14","2018-03-31","34","18830098","","0001728827-18-000004","6618"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-02-12","2017-12-31","34","18596823","","0001728827-18-000002","6071"
