"Form type","Form description","Filing date","Reporting date","Act","Film number(s)","File number(s)","Accession number","Size"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-08-15","2022-06-30","34","221164583","","0001764756-22-000003","8660"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-05-16","2022-03-31","34","22927084","","0001764756-22-000002","9758"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-02-14","2021-12-31","34","22628352","","0001764756-22-000001","9226"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-11-12","2021-09-30","34","211403668","","0001764756-21-000009","9232"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-08-09","2021-06-30","34","211155023","","0001764756-21-000008","8162"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-05-14","2021-03-31","34","21923091","","0001764756-21-000005","6550"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-02-11","2020-12-31","34","21617584","","0001764756-21-000002","3842"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-11-12","2019-09-30","34","191209200","","0001764756-19-000007","4363"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-08-14","2019-06-30","34","191024811","","0001764756-19-000004","4363"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-05-03","2019-03-31","34","19795154","","0001764756-19-000003","3843"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2019-02-15","2018-12-31","34","19609026","","0001764756-19-000002","4558"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-02-14","2018-12-31","34","19603811","","0001764756-19-000001","4381"
