"Form type","Form description","Filing date","Reporting date","Act","Film number(s)","File number(s)","Accession number","Size"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-10-15","2020-09-30","34","201240648","","0001104659-20-115172","4575"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-07-15","2020-06-30","34","201028624","","0001104659-20-083676","4991"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-04-24","2020-03-31","34","20814256","","0001104659-20-050858","4541"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-02-20","2019-12-31","34","20634541","","0001104659-20-023298","5455"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-10-24","2019-09-30","34","191165301","","0001104659-19-056031","5461"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-08-14","2019-06-30","34","191026781","","0001144204-19-040089","5503"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-05-06","2019-03-31","34","19798276","","0001144204-19-023785","5502"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-02-12","2018-12-31","34","19591278","","0001144204-19-006658","5502"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-11-13","2018-09-30","34","181175778","","0001144204-18-059047","5504"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-08-08","2018-06-30","34","181000845","","0001144204-18-042740","5506"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-04-11","2018-03-31","34","18749267","","0001144204-18-020036","6425"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2016-02-11","2015-12-31","34","161409341","","0001144204-16-080617","5517"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-11-16","2015-09-30","34","151233698","","0001144204-15-065850","5517"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-08-12","2015-06-30","34","151046803","","0001144204-15-048501","5020"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-05-14","2015-03-31","34","15863909","","0001144204-15-030810","4571"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2015-02-13","2014-12-31","34","15612782","","0001144204-15-008918","5502"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-11-13","2014-09-30","34","141216685","","0001144204-14-067455","4100"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-08-14","2014-06-30","34","141040635","","0001144204-14-049820","4100"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-05-15","2014-03-31","34","14844628","","0001144204-14-030902","4563"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-02-14","2013-09-30","34","14615657","","0001144204-14-009651","5466"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-02-14","2013-03-31","34","14615648","","0001144204-14-009649","5910"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-02-14","2013-06-30","34","14615611","","0001144204-14-009643","5465"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-02-14","2012-12-31","34","14615605","","0001144204-14-009642","7769"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2014-02-13","2013-12-31","34","14602068","","0001144204-14-008142","5466"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-10-17","2008-09-30","34","081128871","","0000314957-08-000009","8947"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-07-31","2008-06-30","34","08979942","","0000314957-08-000007","9682"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-05-01","2008-03-31","34","08794398","","0000314957-08-000004","9100"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-02-04","2007-12-31","34","08571063","","0000314957-08-000002","9125"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2007-10-22","2007-09-30","34","071183047","","0000314957-07-000011","9151"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2007-07-19","2007-06-30","34","07989296","","0000314957-07-000008","9328"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2007-04-17","2007-03-31","34","07771263","","0000314957-07-000006","9063"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2007-01-19","2006-12-31","34","07539754","","0000314957-07-000002","9339"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2006-11-21","2006-09-30","34","061232269","","0000314957-06-000015","9351"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2006-07-19","2006-06-30","34","06969193","","0000314957-06-000012","9556"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2006-04-17","2006-03-31","34","06763045","","0000314957-06-000008","9575"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2006-01-19","2005-12-31","34","06538043","","0000314957-06-000004","9049"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2005-10-20","2005-09-30","34","051147107","","0000314957-05-000013","9726"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2005-07-22","2005-06-30","34","05967612","","0000314957-05-000010","9374"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2005-04-18","2005-03-31","34","05757186","","0000314957-05-000007","9837"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2005-01-27","2004-12-31","34","05552304","","0000314957-05-000003","6562"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2004-10-26","2004-09-30","34","041095597","","0000314957-04-000016","9163"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2004-09-10","2004-06-30","","041024574","","0000314957-04-000012","9149"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2004-05-03","2004-03-31","","04771507","","0000314957-04-000006","9338"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2004-01-14","2003-12-31","","04524714","","0000314957-04-000002","9319"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2003-10-17","2003-09-30","","03945026","","0000314957-03-000013","9174"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2003-07-07","2003-06-30","","03776863","","0000314957-03-000010","8795"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2003-04-09","2003-03-31","","03644234","","0000314957-03-000006","8401"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2003-01-21","2002-12-31","","03518783","","0000314957-03-000002","10394"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2002-10-21","2002-09-30","","02793991","","0000314957-02-000009","10328"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2002-07-23","2002-06-30","","02708268","","0000314957-02-000006","4878"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2002-05-01","2002-03-31","","02630621","","0000314957-02-000004","6993"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2002-01-30","2001-12-31","","02522211","","0000314957-02-000002","6358"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2001-10-15","2001-09-30","","1759356","","0000314957-01-500018","5721"
