"Form type","Form description","Filing date","Reporting date","Act","Film number(s)","File number(s)","Accession number","Size"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-11-03","2022-09-30","34","221358408","","0001214659-22-013108","6904"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-08-12","2022-06-30","34","221159528","","0001214659-22-009995","6463"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2022-06-03","","","","","0001214659-22-007792","56536"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-05-13","2022-03-31","34","22920275","","0001214659-22-006744","6913"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2022-04-08","","","","","0001214659-22-004995","63541"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-02-14","2021-12-31","34","22626717","","0001214659-22-002484","8229"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2021-04-08","","","","","0001214659-21-004023","59078"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-02-05","2020-12-31","34","21597342","","0001214659-21-001426","7808"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-11-12","2020-09-30","34","201303539","","0001214659-20-009353","6405"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-08-10","2020-06-30","34","201087162","","0001214659-20-006882","7323"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-05-14","2020-03-31","34","20876934","","0001214659-20-004538","5956"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2020-04-09","","","","","0001214659-20-003269","58757"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-02-13","2019-12-31","34","20607602","","0001214659-20-001284","5512"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-11-13","2019-09-30","34","191212607","","0001214659-19-007076","5957"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-08-09","2019-06-30","34","191012536","","0001214659-19-005115","6420"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-05-14","2019-03-31","34","19822123","","0001214659-19-003460","5525"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-02-14","2018-12-31","34","19607181","","0000950123-19-002263","7119"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2019-02-14","","","","","0001193125-19-040859","70523"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2013-02-15","2012-12-31","34","13618512","","0000351051-13-000002","4178"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2012-10-18","2012-09-30","34","121149835","","0000351051-12-000007","4516"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2012-08-14","2012-06-30","34","121030423","","0000351051-12-000006","4420"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2012-05-15","2012-03-31","34","12843870","","0000351051-12-000005","4507"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2012-02-17","2011-12-31","34","12623544","","0000351051-12-000003","4744"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2011-11-10","2011-09-30","34","111194091","","0000351051-11-000065","4405"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2011-07-27","2011-06-30","34","11989644","","0000351051-11-000064","4693"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2005-09-30","34","11904910","","0000351051-11-000047","9003"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2001-09-30","34","11904909","","0000351051-11-000043","13873"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2000-09-30","34","11904907","","0000351051-11-000042","15614"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2006-06-30","34","11904908","","0000351051-11-000039","9716"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2008-09-30","34","11904906","","0000351051-11-000049","4835"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2004-09-30","34","11904905","","0000351051-11-000046","8995"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2004-12-31","34","11904904","","0000351051-11-000056","8544"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2007-12-31","34","11904902","","0000351051-11-000059","7557"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2003-12-31","34","11904903","","0000351051-11-000055","9011"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2003-09-30","34","11904882","","0000351051-11-000045","8552"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2006-12-31","34","11904896","","0000351051-11-000058","7246"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2006-03-31","34","11904901","","0000351051-11-000029","8353"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2004-03-31","34","11904900","","0000351051-11-000027","8724"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2001-03-31","34","11904899","","0000351051-11-000024","14796"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2003-03-31","34","11904898","","0000351051-11-000026","8560"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2005-12-31","34","11904894","","0000351051-11-000057","8634"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2002-12-31","34","11904888","","0000351051-11-000054","8448"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2000-12-31","34","11904887","","0000351051-11-000052","15972"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2010-12-31","34","11904892","","0000351051-11-000062","4630"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2008-12-31","34","11904893","","0000351051-11-000060","4650"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2002-03-31","34","11904891","","0000351051-11-000025","11023"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","1999-12-31","34","11904890","","0000351051-11-000063","13213"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2009-09-30","34","11904883","","0000351051-11-000050","4816"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2006-09-30","34","11904880","","0000351051-11-000048","7251"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2005-03-31","34","11904889","","0000351051-11-000028","8910"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2009-12-31","34","11904886","","0000351051-11-000061","4900"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2001-12-31","34","11904884","","0000351051-11-000053","11425"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2008-03-31","34","11904885","","0000351051-11-000030","7264"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","1999-09-30","34","11904879","","0000351051-11-000051","13443"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2002-09-30","34","11904881","","0000351051-11-000044","8608"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2005-06-30","34","11904877","","0000351051-11-000038","8724"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2009-03-31","34","11904876","","0000351051-11-000031","4830"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2009-06-30","34","11904875","","0000351051-11-000041","4914"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2004-06-30","34","11904878","","0000351051-11-000037","8812"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2003-06-30","34","11904873","","0000351051-11-000036","8646"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2008-06-30","34","11904874","","0000351051-11-000040","7365"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2001-06-30","34","11904872","","0000351051-11-000034","14330"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2002-06-30","34","11904871","","0000351051-11-000035","9998"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2000-06-30","34","11904869","","0000351051-11-000033","13774"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2010-03-31","34","11904870","","0000351051-11-000032","4818"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2011-06-10","2000-03-31","34","11904868","","0000351051-11-000023","14742"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2011-04-27","2011-03-31","34","11783154","","0000351051-11-000005","4798"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2011-02-07","2010-12-31","34","11578168","","0000351051-11-000002","4544"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2010-11-29","2010-09-30","34","101218615","","0000351051-10-000014","4652"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2010-09-21","2010-06-30","34","101082224","","0000351051-10-000013","4653"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2010-06-01","2009-12-31","34","10868465","","0000351051-10-000012","4092"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2010-04-29","2010-03-31","34","10780440","","0000351051-10-000002","4023"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2010-02-10","2009-12-31","34","10586284","","0000351051-10-000001","4030"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2009-11-23","2009-09-30","34","091200981","","0000351051-09-000005","3920"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2009-08-06","2009-06-30","34","09992402","","0000351051-09-000004","4132"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2009-05-21","2009-03-31","34","09844490","","0000351051-09-000002","4024"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2009-02-04","2008-12-31","34","09567277","","0000351051-09-000001","3808"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-11-05","2008-09-30","34","081162946","","0000351051-08-000013","4031"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-09-17","2008-06-30","34","081076040","","0000351051-08-000012","7108"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-06-18","2008-03-31","34","08904730","","0000351051-08-000011","6993"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2008-01-17","2007-12-31","34","08534822","","0000351051-08-000006","7327"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2007-03-01","2006-12-31","34","07661415","","0000351051-07-000003","6994"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2006-11-03","2006-09-30","34","061186370","","0000351051-06-000009","7000"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2006-08-01","2006-06-30","34","06995046","","0000351051-06-000008","9965"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2006-05-01","2006-03-31","34","06792994","","0000351051-06-000004","8307"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2006-03-15","2005-12-31","34","06687075","","0000351051-06-000003","8642"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2005-11-01","2005-09-30","34","051170123","","0000351051-05-000007","9085"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2005-08-01","2005-06-30","34","05988769","","0000351051-05-000006","8747"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2005-05-02","2005-03-31","34","05788646","","0000351051-05-000004","8965"
