"Form type","Form description","Filing date","Reporting date","Act","Film number(s)","File number(s)","Accession number","Size"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-08-12","2022-06-30","34","221159550","","0001839882-22-017815","4644"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-05-13","2022-03-31","34","22922282","","0001387131-22-006106","7434"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2022-02-14","2021-12-31","34","22626174","","0000938582-22-000003","10277"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2021-11-22","2021-09-30","34","211431903","","0000938582-21-000006","10421"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-11-12","2021-09-30","34","211402627","","0000938582-21-000005","9684"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-08-13","2021-06-30","34","211171441","","0000938582-21-000004","12448"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-05-14","2021-03-31","34","21923693","","0000938582-21-000003","8498"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-02-12","2020-12-31","34","21625421","","0000938582-21-000001","9075"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-11-12","2020-09-30","34","201304536","","0000938582-20-000005","7391"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-08-13","2020-06-30","34","201098974","","0000938582-20-000004","8578"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-05-13","2020-03-31","34","20871842","","0000938582-20-000003","8577"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2020-02-13","2019-12-31","34","20610075","","0000938582-20-000001","6820"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-11-13","2019-09-30","34","191214572","","0000938582-19-000009","8519"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2019-08-19","2019-03-31","34","191036439","","0000938582-19-000008","9233"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-08-13","2019-06-30","34","191019341","","0000938582-19-000006","8497"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-05-07","2019-03-31","34","19802807","","0000938582-19-000004","9078"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2019-02-08","2018-12-31","34","19580749","","0000938582-19-000002","7957"
"4","Statement of changes in beneficial ownership of securities","2018-12-12","2018-12-10","34","181231603","","0001123292-18-001113","11708"
"4","Statement of changes in beneficial ownership of securities","2018-12-10","2018-12-06","34","181227206","","0001123292-18-001105","13310"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2018-12-10","2018-09-30","34","181226132","","0001567619-18-007619","7348"
"4","Statement of changes in beneficial ownership of securities","2018-12-06","2018-12-03","34","181221780","","0001123292-18-001101","11165"
"4","Statement of changes in beneficial ownership of securities","2018-12-03","2018-11-29","34","181215170","","0001123292-18-001099","9056"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2018-11-30","2017-09-30","34","181209329","","0000938582-18-000010","6385"
"13F-HR/A","Quarterly report filed by institutional managers, Holdings - amendment","2018-11-30","2017-06-30","34","181209300","","0000938582-18-000009","6392"
"4","Statement of changes in beneficial ownership of securities","2018-11-29","2018-11-27","34","181207946","","0001123292-18-001089","9065"
"4","Statement of changes in beneficial ownership of securities","2018-11-27","2018-11-23","34","181203106","","0001123292-18-001087","11198"
"4","Statement of changes in beneficial ownership of securities","2018-11-26","2018-11-21","34","181200853","","0001123292-18-001077","6969"
"4","Statement of changes in beneficial ownership of securities","2018-11-21","2018-11-20","34","181198111","","0001123292-18-001073","6877"
"4","Statement of changes in beneficial ownership of securities","2018-11-21","2018-11-19","34","181198103","","0001123292-18-001072","6876"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-11-09","2018-09-30","34","181172803","","0000938582-18-000006","8038"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-08-09","2018-06-30","34","181004640","","0000938582-18-000005","8004"
"4","Statement of changes in beneficial ownership of securities","2018-06-19","2018-06-15","34","18907638","","0001123292-18-000825","6857"
"4","Statement of changes in beneficial ownership of securities","2018-05-22","2018-05-03","34","18852215","","0001123292-18-000743","7768"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-05-08","2018-03-31","34","18814009","","0000938582-18-000003","7420"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2018-02-09","2017-12-31","34","18589254","","0000938582-18-000001","7420"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2017-11-17","2017-09-30","34","171211321","","0000938582-17-000011","5737"
