Date,#,University Name,Entity Name,Link,CIK,Since,Link
29 October,1,Princeton University,Trustees of Princeton University,https://www.sec.gov/edgar/browse/?CIK=1728827,CIK0001728827,2018,
,2,Massachusetts Institute of Technology,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,https://www.sec.gov/edgar/browse/?CIK=351051,CIK0000351051,,
,3,Harvard University,HARVARD MANAGEMENT CO INC,https://www.sec.gov/edgar/browse/?CIK=1082621,CIK0001082621,1999,
,3,Stanford University,STANFORD MANAGEMENT CO,https://www.sec.gov/edgar/browse/?CIK=1116949,CIK0001116949,2000,
,3,Yale University,YALE UNIVERSITY,https://www.sec.gov/edgar/browse/?CIK=938582,CIK0000938582,1997,
,6,University of Chicago,UNIVERSITY OF CHICAGO,https://www.sec.gov/edgar/browse/?CIK=314957,CIK0000314957,1999,
,7,Johns Hopkins University,Johns Hopkins University,https://www.sec.gov/edgar/browse/?CIK=1764756,CIK0001764756,2019,
,7,University of Pennsylvania,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,https://www.sec.gov/edgar/browse/?CIK=351083,CIK0000351083,2005,
,9,California Institute of Technology,,,,,
,10,Duke University,Duke University,https://www.sec.gov/edgar/browse/?CIK=1439873,CIK0001439873,2008,
,10,Northwestern University,NORTHWESTERN UNIVERSITY,https://www.sec.gov/edgar/browse/?CIK=873687,CIK0000873687,2016,
,12,Dartmouth College,Trustees of Dartmouth College,https://www.sec.gov/edgar/browse/?CIK=1599404,CIK0001599404,2014,
,13,Brown University,Brown University,https://www.sec.gov/edgar/browse/?CIK=1664741,CIK0001664741,2016,
,13,Vanderbilt University,,,,,
,15,Rice University,William Marsh Rice University,https://www.sec.gov/edgar/browse/?CIK=1674705,CIK0001674705,2017,
,15,Washington University in St. Louis,WASHINGTON UNIVERSITY,https://www.sec.gov/edgar/browse/?CIK=903603,CIK0000903603,1994,
,17,Cornell University,CORNELL UNIVERSITY,https://www.sec.gov/edgar/browse/?CIK=315082,CIK0000315082,1999,
,18,Columbia University,Trustees of Columbia University in the City of New York,https://www.sec.gov/edgar/browse/?CIK=1420995,CIK0001420995,2021,
,18,University of Notre Dame,UNIVERSITY OF NOTRE DAME DU LAC,https://www.sec.gov/edgar/browse/?CIK=903514,CIK0000903514,2005,
,20,University of California Berkeley,REGENTS OF THE UNIVERSITY OF CALIFORNIA,https://www.sec.gov/edgar/browse/?CIK=315054,CIK0000315054,1999,
,20,"University of Caifornia, Los Angeles",-,-,-,-,
,,,,,,,
,,,,,,,
,,U.S News Ranking,,,,,
